循环次数,平均放电电压,平均放电温度,等压降放电时间,容量
1,3.556946062,32.14277786,1773.938,2.035337591
2,3.561475801,32.29307516,1794.843,2.025140246
3,3.56675247,32.24414709,1795.625,2.013326371
4,3.568795337,32.14711742,1795.797,2.013284666
5,3.563970503,32.06687277,1794.781,2.000528338
6,3.573551239,32.03447836,1778.937,2.013899076
7,3.571139134,32.11157497,1777.765,2.013101106
8,3.568150746,32.11257624,1777.735,1.968789826
9,3.569283416,32.03566207,1757.25,1.968166176
10,3.563388513,31.99527969,1739.078,1.957230792
11,3.56665872,31.87412757,1739.14,1.945599151
12,3.568703597,32.12095971,1701.328,1.934750504
13,3.569207084,32.11021169,1682.953,1.923279954
14,3.56592713,31.98906128,1682.64,1.911889931
15,3.561241727,31.87881445,1644.813,1.901066714
16,3.557881988,31.76745071,1643.125,1.889198995
17,3.562824372,31.78991635,1625.203,1.878278372
18,3.559195328,31.82883467,1606.563,1.867569716
19,3.558090617,31.89044947,1587.157,1.867589257
20,3.565899462,31.51177054,1758.906,1.979626548
21,3.570814209,31.8744885,1740.579,1.957549908
22,3.566681783,31.53911454,1702.969,1.945815017
23,3.566839275,31.22086683,1682.594,1.924246112
24,3.571051969,31.11900515,1664.672,1.945981133
25,3.566630847,31.03324408,1626.093,1.901407931
26,3.552739224,31.00124922,1606.25,1.878674214
27,3.556095976,30.92143474,1588.563,1.868306133
28,3.550450086,30.92936025,1567.469,1.856024407
29,3.546007084,31.00810966,1547.953,1.845199796
30,3.554257955,30.96779499,1513.891,1.857228891
31,3.55585747,31.10097217,1592.579,1.924776089
32,3.553730673,31.30736892,1555.281,1.882231753
33,3.545265,31.13133999,1517.657,1.855276688
34,3.538408779,30.82871378,1479.782,1.839250892
35,3.529768831,30.76153307,1452.422,1.818539607
36,3.530067684,31.30305693,1443.25,1.813477006
37,3.524888288,31.06432145,1423.672,1.797101845
38,3.519092689,30.96654665,1405.329,1.781004629
39,3.515181023,30.8264557,1367.843,1.771013042
40,3.514029113,31.08076948,1358.39,1.760471245
41,3.514139684,31.69428782,1348.969,1.750291379
42,3.509578354,31.87558178,1330.344,1.739492504
43,3.511070869,31.54328814,1340.031,1.754676655
44,3.515917932,31.42098341,1340.11,1.765939094
45,3.505853407,31.1583715,1292.406,1.733788742
46,3.501037935,31.15661422,1273.797,1.713325912
47,3.497407663,31.20661138,1255.14,1.702407781
48,3.538887277,33.61169283,1461.61,1.823719462
49,3.53274303,32.85630077,1404.938,1.808128405
50,3.52121476,32.21098156,1349.109,1.775761095
51,3.509311144,31.96509008,1311.593,1.744740984
52,3.50716092,31.74480184,1274.422,1.729207034
53,3.500928919,31.87656407,1255,1.708108655
54,3.49730199,32.24289319,1236.266,1.697595424
55,3.49290383,32.07305566,1208.344,1.682063452
56,3.488659225,32.03014093,1189.921,1.671476832
57,3.48229308,31.98493587,1170.485,1.660759139
58,3.477575664,32.23677365,1152.484,1.651121015
59,3.478743651,32.56097148,1133.578,1.640134926
60,3.474015246,32.48984986,1123.922,1.629199942
61,3.471838772,32.42612199,1105.609,1.60884963
62,3.463180131,32.29984271,1086.171,1.60352449
63,3.463469392,32.61075759,1077.094,1.598971214
64,3.460218052,32.25699352,1049.093,1.587627312
65,3.462574877,32.47193403,1049.515,1.582971974
66,3.453707794,32.40219271,1030.766,1.567137637
67,3.451403535,32.30987416,1011.781,1.561344614
68,3.450781146,32.35440527,1002.375,1.551171189
69,3.446105572,32.47313638,992.937,1.540674161
70,3.441815253,32.52334649,983.656,1.525313874
71,3.445008016,32.51826482,964.859,1.530157032
72,3.441164688,32.54370724,964.719,1.524656683
73,3.443620591,32.5622231,946.125,1.514549299
74,3.43994327,32.5897802,937,1.509391505
75,3.436027193,32.57089564,927.453,1.503997433
76,3.436309312,32.53785435,908.547,1.493520192
77,3.430470228,32.65645091,908.375,1.487632302
78,3.441731109,33.18078523,946,1.530287621
79,3.435542921,32.71220836,918.016,1.504076009
80,3.427233684,32.54394389,890.125,1.488759361
81,3.430753652,32.66554107,880.985,1.478277929
82,3.430880434,33.16092287,880.64,1.478459982
83,3.431984614,33.41444555,880.782,1.473214845
84,3.42691359,33.35416795,861.672,1.467516494
85,3.422042236,33.13634596,842.828,1.451629266
86,3.420268714,32.92241763,843.328,1.451923772
87,3.424820811,33.20338483,833.968,1.447148469
88,3.423499088,33.53395065,833.938,1.446853811
89,3.424742096,33.57679341,833.562,1.441674193
90,3.450702139,33.2240884,936.797,1.593586659
91,3.448047543,33.37083345,945.984,1.546390238
92,3.439948189,33.43366634,917.891,1.514705592
93,3.434112915,33.28676739,889.859,1.498978608
94,3.432560094,33.14347737,871.265,1.483111075
95,3.427061489,33.11021542,852.516,1.472966483
96,3.427340317,33.18991802,843.422,1.46276044
97,3.423482198,33.26265399,833.781,1.451836468
98,3.42209577,33.29997884,824.719,1.446867064
99,3.421883545,33.31663548,814.484,1.441380399
100,3.419577741,33.39150631,805.734,1.431210745
101,3.417528179,33.41522427,796.313,1.426024718
102,3.419786054,33.39690851,787.094,1.42048765
103,3.41713693,33.73731994,796.282,1.420700623
104,3.430534714,34.08965317,834.157,1.452255804
105,3.425084418,33.99872866,805.641,1.431557633
106,3.417133986,33.90739711,786.563,1.415015751
107,3.417521467,33.70518418,768.015,1.409731151
108,3.418162324,33.74588329,767.61,1.404917318
109,3.420331936,34.01657213,759.485,1.395164297
110,3.419291631,34.17502337,758.984,1.394534383
111,3.41435233,33.97610968,740.125,1.389317118
112,3.412701167,33.84150372,739.953,1.383837947
113,3.410409523,34.10084642,730.406,1.373681424
114,3.41441932,34.34663683,740.015,1.378605989
115,3.413171003,34.21623153,730.828,1.37376003
116,3.410701926,34.04161702,712.032,1.368258058
117,3.408905921,33.89021287,712.36,1.363302404
118,3.413408026,34.11676241,711.985,1.358096614
119,3.411221045,34.49049359,702.953,1.353269091
120,3.415521085,34.23744801,740.188,1.384160574
121,3.422983836,34.41428886,758.593,1.405146779
122,3.414757022,34.1644518,730.906,1.378719023
123,3.414358716,33.87714681,712.047,1.368265778
124,3.40918867,33.83956625,692.844,1.35731513
125,3.411930367,33.8183048,693.266,1.352493464
126,3.409441718,33.81262114,684.094,1.347409915
127,3.40818961,33.79894614,674.797,1.337007513
128,3.407378514,33.70272375,664.969,1.331235297
129,3.408586264,33.63562652,664.657,1.325930378
130,3.404843616,33.69072406,655.937,1.321578744
131,3.408105737,33.71317034,655.891,1.321225074
132,3.409172854,33.65376593,646.25,1.31564853
133,3.411081762,33.98357807,655.641,1.32090257
134,3.416748625,33.81634814,684.047,1.347432877
135,3.416968918,33.6069203,655.328,1.326012807
136,3.410576391,33.47350598,646.36,1.310118678
137,3.411333528,33.20917873,636.906,1.305216202
138,3.408128335,33.58088964,637.234,1.300406195
139,3.412573242,33.76400862,637.031,1.300235736
140,3.407693687,33.57003564,618.219,1.289506672
141,3.407349961,33.2720509,609.031,1.279253057
142,3.409292164,33.12740933,599.391,1.279207817
143,3.409549235,33.43911677,599.219,1.274036761
144,3.410318915,33.48287477,599.625,1.274127392
145,3.409269479,33.22136307,590.219,1.263763943
146,3.409437444,32.98562739,580.657,1.258137369
147,3.403885092,32.97018278,571.563,1.253259864
148,3.406592911,33.31018716,580.735,1.253231332
149,3.409593002,33.23406653,571.688,1.248087496
150,3.409409923,33.11765671,571.438,1.253435428
