循环次数,平均放电电压,平均放电温度,等压降放电时间（3.8V-3.5V）,容量
1,3.527546226,31.77328528,1559.375,1.855004521
2,3.534835576,31.92489159,1581.11,1.843195532
3,3.538246596,31.31691283,1582.438,1.839601842
4,3.537697945,30.82119075,1572.984,1.830673604
5,3.542667605,31.95346972,1592.5,1.832700207
6,3.545103733,32.02311236,1594.313,1.828528885
7,3.547514244,31.63453316,1572.641,1.82120119
8,3.544812434,31.28819492,1561.937,1.815170011
9,3.543478027,31.11122471,1560.36,1.804298052
10,3.543133207,31.13166984,1578.359,1.82310023
11,3.545155146,31.51305776,1568.156,1.812125352
12,3.545032367,31.31102569,1556.093,1.804691638
13,3.544089217,30.89396471,1533.828,1.79084435
14,3.541317109,30.54059897,1520.812,1.783470723
15,3.54119798,30.82566019,1527.5,1.780938613
16,3.541255461,31.45140068,1519.391,1.77120904
17,3.542747895,31.51884775,1512.047,1.7686304
18,3.541251094,31.11237289,1487.406,1.75363048
19,3.535026056,30.58645259,1464.657,1.746219742
20,3.532662762,30.24291302,1440.859,1.737664734
21,3.533310944,30.10270376,1434.578,1.731516674
22,3.527387058,30.25118485,1429.515,1.708594989
23,3.529602597,30.2124077,1415.203,1.711469957
24,3.528970769,30.12501101,1401.078,1.707502137
25,3.532274185,30.2242863,1438.079,1.749238206
26,3.532438323,30.97637625,1432.656,1.732769715
27,3.536321131,31.41570291,1428.031,1.722231333
28,3.533535274,31.38329984,1413.032,1.711846299
29,3.527012842,31.16793783,1385.422,1.699267835
30,3.5292573,30.99469044,1379.375,1.694036644
31,3.527821498,31.05531798,1352.297,1.681902708
32,3.525692957,31.37394554,1346.844,1.676977062
33,3.524396248,31.56128411,1342.375,1.665522931
34,3.520797576,31.31847472,1322.75,1.657192458
35,3.519457281,31.10401233,1309.078,1.648224156
36,3.5131656,30.9897304,1287.969,1.63877015
37,3.517217159,30.96785197,1272.062,1.627648691
38,3.512009111,31.28534205,1265.828,1.622153702
39,3.509110527,31.41096207,1258.156,1.614006651
40,3.5161067,30.75513713,1319.578,1.676051615
41,3.519010068,30.97744663,1300.343,1.649300643
42,3.512421274,30.80051219,1273.125,1.632382992
43,3.508152153,30.6161928,1263.922,1.616415972
44,3.508648569,30.3998393,1235.219,1.610902838
45,3.505199344,30.38386825,1215.265,1.595463869
46,3.52316528,30.5762395,1413.5,1.72670744
47,3.527269876,30.70590628,1376.531,1.716567392
48,3.526762655,30.62583595,1344.906,1.695823557
49,3.523020179,30.59735707,1317.391,1.677778319
50,3.519792346,30.5284939,1289.531,1.66065869
51,3.525101458,31.20375425,1305.437,1.666410927
52,3.5185192,31.17263945,1286.985,1.646833617
53,3.519080179,30.96825923,1267.062,1.625763993
54,3.511416727,30.82170431,1237.657,1.612157741
55,3.510803868,30.76521972,1219.891,1.605736682
56,3.514326118,30.80998843,1269.672,1.673645315
57,3.519666405,31.03903359,1252.984,1.640434857
58,3.512403849,31.04176453,1223.781,1.613265332
59,3.507786223,30.9597842,1203.672,1.592096432
60,3.50765961,30.84351328,1174.234,1.586601182
61,3.507483357,30.7971574,1169.125,1.580076649
62,3.502386593,30.98443458,1158.828,1.564173295
63,3.503693494,30.96789928,1139.172,1.555618272
64,3.498994846,30.97661635,1120.093,1.540204528
65,3.495405577,30.89768962,1099.375,1.532161302
66,3.4945283,30.81568822,1104.015,1.53162324
67,3.496255483,30.72618808,1082.891,1.522259595
68,3.487696462,30.76818713,1073.36,1.506526713
69,3.486547581,30.77541517,1056.219,1.501421956
70,3.482298184,30.76182198,1045.625,1.496353412
71,3.491819482,30.91372193,1095.343,1.5334262
72,3.493995853,31.22821565,1086.391,1.523845268
73,3.484377016,31.26167978,1064.766,1.501192099
74,3.485911679,31.18408594,1045.062,1.492417671
75,3.484278754,31.00143235,1035.375,1.483323852
76,3.482988652,30.98137403,1027.079,1.480737679
77,3.483799877,31.08868793,1019.672,1.473507781
78,3.478754076,31.33642013,1007.875,1.468019285
79,3.475219435,31.22599987,997.907,1.458092356
80,3.470739536,31.03732349,988.625,1.447866099
81,3.47460091,30.81134923,979.656,1.452780878
82,3.474052157,30.93222318,970.125,1.442535636
83,3.475075729,31.21552707,972.157,1.439271288
84,3.472424308,31.40079708,961.812,1.428647568
85,3.471751102,31.25921327,951.484,1.424902675
86,3.47454073,31.13470129,1003.266,1.469811532
87,3.47172006,31.2468797,981.391,1.452581965
88,3.47139841,31.02755867,959.093,1.442834199
89,3.462649109,30.93191739,950.875,1.428376059
